Código Cliente,nome_cliente,volume_total,preco_liquido_ponderado,margem_pct_ponderada,frequencia_mensal,taxa_devolucao,produtos,cluster
5942,PAESAN - PAVIMENTACAO ENGENHARIA E,1.2000000000000002,12458.049999999997,0.24048239224169649,1.5,0.0,3,0
5730,ITAMARATI NORTE SA AGRO PECUARIA,6.8,15182.964705882354,0.14274405448211308,1.0,0.0,1,0
5672,VIACAO GUAIANAZES DE TRANSPORTE LTD,0.4,10726.875,0.07635028841111695,2.0,0.0,2,0
5643,CAIEIRA NOSSA SENHORA DA GUIA MINER,8.18,12814.822738386309,0.16367869382615352,1.9444444444444444,0.02702702702702703,12,0
5642,CHEMTRADE BRASIL LTDA,3.4,9983.817647058822,0.18830796188420204,1.0,0.0,1,0
5458,LHG MINING CORUMBA S.A,2.83,14211.18374558304,0.151413123342612,1.5555555555555556,0.0,8,0
5402,CENTRAIS CONSTRUCOES PESADAS S/A,1.05,11100.961904761905,0.13342129939833614,6.5,0.0,11,0
5303,VIACAO CIDADE MORENA LTDA,16.34,10732.739902080784,0.12488389744440091,1.9285714285714286,0.0,9,0
5182,"UNIMETAL SAO VICENTE INDUSTRIA, COM",7.58,11912.534300791556,0.1516533050208418,3.8666666666666667,0.046153846153846156,16,0
5171,MARIA LUIZA CONSTRUCOES E EMPREENDI,4.45,12861.624719101123,0.1644208369711622,4.8,0.0,17,0
4706,RODOVIARIO CONFIANCA LTDA,2.3200000000000003,12696.262931034482,0.10120069949988678,2.2,0.0,10,0
4664,R.J. ASFALTO ENGENHARIA LTDA.,0.2,12469.2,0.2502165335386392,1.0,0.0,1,0
7775,CAJUINA SAO GERALDO LTDA,3.12,14047.772435897436,0.1608483414538987,1.0,0.1,2,0
7737,SOCIMOL INDUSTRIA DE COLCHOES E MOV,4.76,13890.621848739496,0.30355194000667884,2.0952380952380953,0.043478260869565216,6,0
7670,GUADALAJARA SA INDUSTRIA DE ROUPAS,2.06,10703.88349514563,0.1969750566893424,1.6,0.0,5,0
7625,ITAJUBARA S/A ACUCAR E ALCOOL,0.79,13985.177215189873,0.3011108506384245,2.0,0.0,2,0
1893906,ELBIO RODRIGUES ALVES FILHO,4.4,12858.711363636363,0.15040564117039157,4.0,0.0,4,0
1893477,LENARGE TRANSPORTES E SERVICOS LTDA,0.57,9651.228070175439,0.16830146149930925,1.0,0.0,1,0
1893471,LENARGE TRANSPORTES E SERVICOS LTDA,0.38,9399.763157894737,0.15116842249664747,1.0,0.0,1,0
1893362,SISTERMI LOCACAO DE MAQUINAS E EQUI,1.4,13635.8,0.15924467735142578,2.5,0.0,5,0
1892177,EDSON VINICIUS JORGE CRISTINO,8.5,13878.189411764706,0.11384516084951242,5.5,0.0,10,0
