Código Cliente,nome_cliente,transacoes,meses_ativos,produtos,volume_total,segmento_b2b,receita_liquida_total,lucro_reposicao_total,volume_medio,volume_std,ultima_compra,preco_liquido_ponderado,margem_pct_ponderada,frequencia_mensal,cv_volume,registros_totais,devolucoes,ajustes,inconsistencias,taxa_devolucao,taxa_ajuste,taxa_inconsistencia,recencia_dias,concentracao_familia,intensidade_desconto,frequencia_mensal_corrigida,cnpj_14,cnae_codigo,cnae_descricao,cnae_divisao,cnae_divisao_nome,estado_cliente,frete_por_m3
746,TRANSMASUT TRANSPORTES LTDA,133,44,10,60.38,TRANSPORTE DE CARGAS,791262.08,106061.5,0.45398496240601505,0.3935482332489497,2026-08-01,13104.704869161973,0.13404092358375116,3.022727272727273,0.8668750417706246,135,0,2,0,0.0,0.014814814814814815,0.0,5,0.4607485922490891,0.2405797775162559,4.181818181818182,00181221000103,4930203,Transporte rodoviário de produtos perigosos,49,Transporte terrestre,Goiás,406.6366346472342
924,TRANSPORTADORA PLANALTO LTDA,2,1,2,0.32,TRANSPORTE DE CARGAS,4572.05,705.04,0.16,0.05656854249492382,2023-04-01,14287.65625,0.15420653754880195,2.0,0.35355339059327384,2,0,0,0,0.0,0.0,0.0,1257,0.625,0.3770587907787134,2.0,00308668000109,4930203,Transporte rodoviário de produtos perigosos,49,Transporte terrestre,Rondônia,912.46875
1006,CENTRAIS ELETRICAS DO NORTE DO BRAS,1,1,1,4.0,OUTROS,45736.47,5772.0,4.0,,2026-02-01,11434.1175,0.1262012568963018,1.0,,1,0,0,0,0.0,0.0,0.0,211,1.0,0.20538729143572723,1.0,00357038003999,3512300,Transmissão de energia elétrica,35,"Eletricidade, gás e outras utilidades",Rondônia,990.2525
1007,CENTRAIS ELETRICAS DO NORTE DO BRAS,1,1,1,0.06,OUTROS,770.92,228.03,0.06,,2025-09-01,12848.666666666666,0.2957894463757588,1.0,,1,0,0,0,0.0,0.0,0.0,345,1.0,0.014336315148625298,1.0,00357038004375,3512300,Transmissão de energia elétrica,35,"Eletricidade, gás e outras utilidades",Pará,293.8333333333333
1011,CENTRAIS ELETRICAS DO NORTE DO BRAS,3,3,1,0.54,OUTROS,7452.29,-1724.39,0.18000000000000002,0.19078784028338916,2026-06-01,13800.537037037036,-0.23139061952768883,1.0,1.0599324460188286,3,0,0,0,0.0,0.0,0.0,274,1.0,0.4916163453604381,1.0,00357038005185,3511501,Geração de energia elétrica,35,"Eletricidade, gás e outras utilidades",Maranhão,1516.1666666666665
1439,COMANDO DO EXERCITO,2,2,1,1.62,GOVERNO,17552.4,919.31,0.81,0.1555634918610405,2023-10-01,10834.814814814816,0.05237517376541099,1.0,0.19205369365560554,2,0,0,0,0.0,0.0,0.0,1074,1.0,0.3537826220753051,1.0,00394452053215,8422100,Defesa,84,Administração pública,Amazonas,232.66049382716045
1469,COMANDO DA MARINHA,26,9,12,1.9200000000000002,GOVERNO,24465.84,5594.56,0.07384615384615385,0.07376052727994414,2026-06-01,12742.624999999998,0.22866821658279463,2.888888888888889,0.9988404735825769,26,0,0,0,0.0,0.0,0.0,100,0.33854166666666663,0.19123765801481038,2.888888888888889,00394502001540,8422100,Defesa,84,Administração pública,Rio de Janeiro,302.0989583333333
1473,COMANDO DA MARINHA,466,42,88,2310.36,GOVERNO,29773918.32,2896647.89,4.957854077253219,12.01552243854315,2026-08-01,12887.133745390329,0.09728809822300877,11.095238095238095,2.4235328937313265,575,32,61,0,0.05565217391304348,0.10608695652173913,0.0,39,0.666138610433006,0.3467967459293341,11.095238095238095,00394502002198,8422100,Defesa,84,Administração pública,Rio de Janeiro,207.7693779324434
1481,COMANDO DA MARINHA,2,2,2,2.2,GOVERNO,30071.510000000002,5349.59,1.1,1.2727922061357855,2024-06-01,13668.868181818181,0.17789562280045132,1.0,1.157083823759805,2,0,0,0,0.0,0.0,0.0,830,0.9090909090909091,0.11951531597651421,1.0,00394502003593,8422100,Defesa,84,Administração pública,Ceará,385.8545454545454
1556,COMANDO DA MARINHA,92,21,31,62.300000000000004,GOVERNO,937935.42,206777.59,0.6771739130434783,1.8098365696886343,2026-07-01,15055.143178170145,0.22046037028860685,4.380952380952381,2.6726318525097006,93,0,1,0,0.0,0.010752688172043012,0.0,790,0.8077046548956661,0.13997136408143512,2.0,00394502039784,8422100,Defesa,84,Administração pública,Rio Grande do Norte,813.0868378812198
1589,ITAIPU,27,10,23,185.1,TÉRMICA,2479859.95,675517.66,6.855555555555555,22.829909924909625,2025-11-01,13397.406537007024,0.27240153622385005,2.7,3.3301327281067525,30,0,2,0,0.0,0.06666666666666667,0.0,314,0.9292274446245273,0.014336315148625298,1.2222222222222223,00395988001298,3511501,Geração de energia elétrica,35,"Eletricidade, gás e outras utilidades",Paraná,540.6478660183685
1615,SANTA IZABEL TRANSPORTE REVENDEDOR,98,17,18,53.85,TRR,575214.9,90152.04,0.5494897959183673,0.36376715235424517,2026-02-01,10681.799442896936,0.15672758129179198,5.764705882352941,0.6620089309325168,98,0,0,0,0.0,0.0,0.0,196,0.2116991643454039,0.49679643761776077,1.8571428571428572,00411566000106,4681802,Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.),46,Comércio por atacado,Mato Grosso do Sul,0.0
1641,TRANSGRAOS LTDA,60,32,16,20.27,TRANSPORTE DE CARGAS,279757.36,42397.340000000004,0.3378333333333333,0.24859668287099745,2026-06-01,13801.547113961518,0.15155040067578565,1.875,0.7358559927113887,70,0,0,0,0.0,0.0,0.0,100,0.42920572274296986,0.28741030275960183,1.55,00438756000117,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",49,Transporte terrestre,Minas Gerais,521.2797237296497
1711,CONSTRUTORA ENGETRAN LTDA,12,9,4,3.41,CONSTRUÇÃO E CIMENTO,34324.32,9507.630000000001,0.2841666666666667,0.15594045094979123,2025-11-01,10065.782991202346,0.27699397977876916,1.3333333333333333,0.5487640502631949,12,0,0,0,0.0,0.0,0.0,317,0.8797653958944281,0.2180397237625836,1.0,00494516000130,4313400,Obras de terraplenagem,43,Serviços especializados para construção,Minas Gerais,77.22580645161291
1737,ALIANCA ATACADISTA LTDA,131,39,19,11.93,COMÉRCIO,169141.39,28193.88,0.09106870229007634,0.09780869796461747,2026-08-01,14177.81978206203,0.16668823639205047,3.358974358974359,1.0740100111789512,137,3,0,0,0.021897810218978103,0.0,0.0,15,0.6839899413243923,0.23154374951824666,1.25,00506346000166,4693100,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",46,Comércio por atacado,Minas Gerais,612.850796311819
1775,GW CONSTRUCOES E INCORPORACOES LTDA,22,10,9,5.720000000000001,CONSTRUÇÃO E CIMENTO,66958.65,9585.89,0.26,0.11359912809859901,2024-03-01,11706.05769230769,0.14316133912496742,2.2,0.43691972345615004,25,0,2,0,0.0,0.08,0.0,903,0.4895104895104895,0.35640344696764403,1.0,00528786000114,4313400,Obras de terraplenagem,43,Serviços especializados para construção,Brasília,263.0926573426573
1823,CAENGE S.A - CONSTRUCAO ADMINISTRAC,77,18,15,7.04,CONSTRUÇÃO E CIMENTO,80307.29,13312.1,0.09142857142857143,0.08670449338374761,2024-12-01,11407.285511363636,0.16576452772842915,4.277777777777778,0.9483303963847395,88,0,0,0,0.0,0.0,0.0,622,0.4630681818181818,0.2917464975841437,1.0,00578443000164,4120400,Construção de edifícios,41,Construção de edifícios,Brasília,277.12784090909093
1836,KARINA PISOS E REVESTIMENTOS CERAMI,41,12,12,2.0100000000000002,CONSTRUÇÃO E CIMENTO,26008.57,5980.1,0.04902439024390245,0.027368309963238552,2026-08-01,12939.587064676616,0.22992805832846636,3.4166666666666665,0.5582590589516321,41,0,0,0,0.0,0.0,0.0,26,0.3980099502487562,0.15938516789945145,1.1111111111111112,00585121000142,2342702,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",23,Produtos de minerais não-metálicos,São Paulo,346.9203980099502
2017,VULCABRAS BA CALCADOS E ARTIGOS ESP,65,30,17,60.62,OUTRAS INDÚSTRIAS,677541.0800000001,123295.39,0.9326153846153846,1.522580331340391,2026-05-01,11176.857142857145,0.1819747815143548,2.1666666666666665,1.632591909223448,66,0,1,0,0.0,0.015151515151515152,0.0,13,0.8756186077202244,0.16481356925864735,1.9259259259259258,00733658000102,1531901,Fabricação de calçados de couro,15,Couro e calçados,Bahia,1222.2245133619267
2087,MAQTRON IMPORTACAO E EXPORTACAO LTD,13,13,1,3.67,OUTRAS INDÚSTRIAS,62545.41,13452.09,0.2823076923076923,0.10377490433255417,2026-02-01,17042.346049046322,0.2150771735288009,1.0,0.3675950289709003,13,0,0,0,0.0,0.0,0.0,195,1.0,0.09873351409645235,1.0833333333333333,00805297000162,2833000,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação",28,Fabricação de máquinas e equipamentos,Santa Catarina,542.8038147138965
2152,VESPER TRANSPORTES LTDA,87,24,17,29.29,TRANSPORTE DE PASSAG,375125.81,42510.46,0.33666666666666667,0.32880214827944515,2026-07-01,12807.299761010585,0.11332320748604315,3.625,0.9766400443943916,90,0,0,0,0.0,0.0,0.0,43,0.504950495049505,0.2551737706063217,1.9375,00873594000145,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",49,Transporte terrestre,São Paulo,604.8661659269375
2174,CASTELO CONSTRUCOES E ADMINISTRACAO,62,15,23,7.87,CONSTRUÇÃO E CIMENTO,92975.17,18419.75,0.12693548387096773,0.11832975194626104,2026-06-01,11813.87166454892,0.1981147224576196,4.133333333333334,0.9322038908091722,62,0,0,0,0.0,0.0,0.0,93,0.45743329097839897,0.21006924462041746,1.2307692307692308,00894402000187,4120400,Construção de edifícios,41,Construção de edifícios,Goiás,384.8144853875476
2228,REALSI SERVICOS E TRANSPORTES LITOR,36,20,10,8.88,TRANSPORTE DE PASSAG,108491.04,15139.57,0.2466666666666667,0.15609520904151508,2026-07-01,12217.459459459458,0.13954673123236722,1.8,0.6328184150331692,36,0,0,0,0.0,0.0,0.0,49,0.5405405405405405,0.24924806746310613,1.5384615384615385,00935396000169,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",49,Transporte terrestre,Bahia,1033.7421171171172
2252,BRAVO SERVICOS LOGISTICOS LTDA,7,4,4,1.6600000000000001,TRANSPORTE DE CARGAS,19628.93,985.94,0.23714285714285716,0.12243560017607703,2024-10-01,11824.656626506023,0.050228922310080075,1.75,0.5162946995376743,7,0,0,0,0.0,0.0,0.0,701,0.6024096385542168,0.5612164085883313,1.0,00950001000105,4930203,Transporte rodoviário de produtos perigosos,49,Transporte terrestre,Minas Gerais,524.8855421686746
2345,EXPRESSO MARLY LTDA,45,21,8,4.26,TRANSPORTE DE PASSAG,48742.38,5398.1,0.09466666666666666,0.07488172492185746,2026-07-01,11441.87323943662,0.11074756710689959,2.142857142857143,0.7910041364984943,45,0,0,0,0.0,0.0,0.0,64,0.3427230046948357,0.3449193646433649,1.1666666666666667,01026921000196,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",49,Transporte terrestre,Goiás,236.94600938967136
2412,HP MOBILIDADE LTDA.,247,44,36,99.87,TRANSPORTE DE PASSAG,1324623.14,221984.23,0.40433198380566804,0.505506526850371,2026-09-01,13263.473916090916,0.16758293230480636,5.613636363636363,1.2502264156607754,262,2,2,0,0.007633587786259542,0.007633587786259542,0.0,7,0.3762891759287073,0.3014660348159153,3.65625,01082569000106,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",49,Transporte terrestre,Goiás,312.84239511364774
2462,ATLANTA RENT A CAR LTDA,64,30,13,5.24,SERVIÇOS,94664.22,23715.73,0.081875,0.05803324170557028,2026-08-01,18065.690839694656,0.25052474947768016,2.1333333333333333,0.7088029521291026,66,0,0,0,0.0,0.0,0.0,7,0.34923664122137404,0.16122199060069348,1.1363636363636365,01135910000144,7711000,Locação de automóveis sem condutor,77,Aluguel de máquinas e equipamentos,Pará,277.85114503816794
2559,VIACAO REUNIDAS LTDA,122,42,16,92.65,TRANSPORTE DE PASSAG,979846.77,147294.35,0.7594262295081967,0.8340167657711196,2026-08-01,10575.788127361036,0.15032386135232145,2.9047619047619047,1.0982195944314797,125,0,0,0,0.0,0.0,0.0,1,0.7760388559093362,0.33755236342291234,2.032258064516129,01231646000142,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",49,Transporte terrestre,Goiás,338.04360496492177
2609,VIACAO MIMO LTDA,38,36,3,43.37,TRANSPORTE DE PASSAG,460255.69,102172.70999999999,1.141315789473684,0.39269113819161333,2026-07-01,10612.305510721697,0.22199119363412975,1.0555555555555556,0.3440687860567514,39,1,0,0,0.02564102564102564,0.0,0.0,4,0.9953885174083469,0.17676051997666864,1.0769230769230769,01274689000105,4929901,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",49,Transporte terrestre,São Paulo,558.8455153331797
2627,MINERADORA PEDRIX LTDA,43,23,15,11.88,MINERAÇÃO,150487.15,33404.74,0.2762790697674419,0.22160693705634532,2026-05-01,12667.268518518516,0.2219773581996868,1.8695652173913044,0.8021126509615192,45,0,0,0,0.0,0.0,0.0,118,0.2525252525252525,0.1807035525549145,1.6,01290096000132,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,08,Extração de minerais não-metálicos,São Paulo,581.4006734006733
2840,SALINA DIAMANTE BRANCO LTDA,152,40,21,21.44,MINERAÇÃO,316535.23,92420.08,0.14105263157894737,0.16075631632400028,2026-08-01,14763.770055970148,0.29197407189082875,3.8,1.1396903022970168,152,0,0,0,0.0,0.0,0.0,5,0.40298507462686567,0.10937060479710317,1.5806451612903225,01464886000278,0892401,Extração de sal marinho,08,Extração de minerais não-metálicos,Rio Grande do Norte,656.4388992537313
2852,VIACAO REGIONAL S/A,34,20,6,5.0600000000000005,TRANSPORTE DE PASSAG,74334.22,20158.33,0.14882352941176472,0.1509718959574396,2025-07-01,14690.557312252964,0.2711850612006153,1.7,1.0144356645361554,35,1,0,0,0.02857142857142857,0.0,0.0,422,0.5138339920948616,0.11231234614155378,1.4444444444444444,01476325000108,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",49,Transporte terrestre,Bahia,603.0830039525691
2907,PLM CONSTRUCOES E COMERCIO LTDA,76,21,12,21.21,CONSTRUÇÃO E CIMENTO,264451.53,51529.51,0.27907894736842104,0.13163766058469187,2026-08-01,12468.247524752476,0.19485427064838687,3.619047619047619,0.47168610110497794,76,0,0,0,0.0,0.0,0.0,30,0.2545968882602546,0.15777389896369737,1.7586206896551724,01513315000103,4313400,Obras de terraplenagem,43,Serviços especializados para construção,Santa Catarina,526.9599245638849
2952,SVC CONSTRUCOES LTDA,261,41,38,89.73,CONSTRUÇÃO E CIMENTO,1115701.68,202632.98,0.34379310344827585,0.43274946041643547,2026-08-01,12433.987295218989,0.18161931960163402,6.365853658536586,1.2587496842604442,266,1,1,0,0.0037593984962406013,0.0037593984962406013,0.0,0,0.3004569263345592,0.23894661418276714,3.3225806451612905,01543722000155,4211101,Construção de rodovias e ferrovias,42,Obras de infraestrutura,Bahia,0.0
3015,CENTRO OESTE ASFALTOS S/A,2,2,1,11.6,CONSTRUÇÃO E CIMENTO,116172.56,18857.57,5.8,7.353910524340095,2025-03-01,10014.875862068966,0.16232378799262062,1.0,1.267915607644844,2,0,0,0,0.0,0.0,0.0,551,1.0,0.2720541296438491,1.0,01593821000303,2099199,Fabricação de outros produtos químicos não especificados anteriormente,20,Fabricação de produtos químicos,Tocantins,654.1612068965517
3016,CENTRO OESTE ASFALTOS S/A,3,3,1,1.4,CONSTRUÇÃO E CIMENTO,14468.95,3032.74,0.4666666666666666,0.11547005383792512,2025-05-01,10334.964285714286,0.2096033229778249,1.0,0.24743582965269673,3,0,0,0,0.0,0.0,0.0,480,1.0,0.27224190594432407,1.0,01593821001032,2399199,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente,23,Produtos de minerais não-metálicos,Minas Gerais,555.7642857142857
3019,PERKINS MOTORES DO BRASIL LTDA.,8,8,1,119.45,MONTADORAS,1158746.07,147158.23,14.93125,0.09508454884244617,2026-07-01,9700.678694014232,0.1269978244672709,1.0,0.006368157310502883,10,0,1,0,0.0,0.1,0.0,425,1.0,0.2333884618083691,1.0,01594992000195,2941700,Fabricação de peças e acessórios para o sistema motor de veículos automotores,29,"Veículos automotores, reboques e carrocerias",Paraná,730.0364169108414
3025,CONSIGAZ-DISTRIBUIDORA DE GAS LTDA,5,4,3,1.7999999999999998,COMÉRCIO,22518.02,3535.31,0.36,0.21908902300206645,2024-06-01,12510.011111111113,0.1569991500140776,1.25,0.6085806194501846,5,0,0,0,0.0,0.0,0.0,811,0.6666666666666667,0.2770478640182474,1.0,01597589000110,4682600,Comércio atacadista de gás liqüefeito de petróleo (GLP),46,Comércio por atacado,São Paulo,524.0222222222222
3026,CONSIGAZ-DISTRIBUIDORA DE GAS LTDA,4,3,3,2.6,COMÉRCIO,30066.550000000003,4157.2,0.65,0.30000000000000004,2025-09-01,11564.057692307693,0.1382666118992701,1.3333333333333333,0.46153846153846156,4,0,0,0,0.0,0.0,0.0,357,0.6923076923076923,0.30413086462714356,1.0,01597589000209,4682600,Comércio atacadista de gás liqüefeito de petróleo (GLP),46,Comércio por atacado,São Paulo,538.6384615384616
3056,BRASAL REFRIGERANTES S/A,15,15,1,3.42,OUTRAS INDÚSTRIAS,41645.87,11734.699999999999,0.228,0.23406958672277658,2026-03-01,12177.154970760235,0.2817734387587532,1.0,1.0266209943981428,19,0,1,0,0.0,0.05263157894736842,0.0,463,1.0,0.19160384940132857,1.5,01612795000151,1122401,Fabricação de refrigerantes,11,Fabricação de bebidas,Brasília,299.4795321637427
3077,BIOTEXTIL INDUSTRIA E COMERCIO LTDA,2,1,2,0.28,OUTRAS INDÚSTRIAS,4082.3,560.02,0.14,0.08485281374238571,2023-08-01,14579.642857142857,0.13718247066604608,2.0,0.6060915267313264,2,0,0,0,0.0,0.0,0.0,1135,0.7142857142857143,0.371321345146851,2.0,01623403000150,3250705,Fabricação de materiais para medicina e odontologia,32,Fabricação de produtos diversos,Goiás,559.7857142857142
3091,FERROVIA TEREZA CRISTINA S.A.,13,10,6,2.27,TRANSPORTE FERROVIÁR,29955.43,3755.35,0.17461538461538462,0.045021362450764164,2026-08-01,13196.224669603524,0.12536458331594638,1.3,0.2578315911277243,13,0,0,0,0.0,0.0,0.0,58,0.5286343612334803,0.3256171302875868,1.0,01629083000226,4911600,Transporte ferroviário de carga,49,Transporte terrestre,Santa Catarina,516.3744493392071
