,volume_total,volume_total,volume_total,volume_total,volume_total,preco_liquido_ponderado,preco_liquido_ponderado,preco_liquido_ponderado,preco_liquido_ponderado,preco_liquido_ponderado,margem_pct_ponderada,margem_pct_ponderada,margem_pct_ponderada,margem_pct_ponderada,margem_pct_ponderada,frequencia_mensal,frequencia_mensal,frequencia_mensal,frequencia_mensal,frequencia_mensal,taxa_devolucao,taxa_devolucao,taxa_devolucao,taxa_devolucao,taxa_devolucao,produtos,produtos,produtos,produtos,produtos
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4071,2.9111643330876937,3.5712315882300008,0.04,26.3,4071,12149.301022870517,1540.4026431729433,8624.199999999999,16362.25,4071,0.16537888827026237,0.06653861765960811,-0.2662426197683716,0.4985465508781974,4071,1.6402012152974625,0.758283299012716,1.0,5.0,4071,0.013225246276515105,0.05824143571858562,0.0,0.5,4071,3.839351510685335,2.844924610824465,1,15
1,129,111.48658914728682,28.38824254577402,71.66,184.05,129,12470.888752837389,1681.4152441333113,8718.700762327511,17983.103549966614,129,0.14974668480645273,0.06156377900488726,-0.114811240949207,0.3096792134488126,129,5.011830260905859,2.781951864208174,1.0,25.5,129,0.005512559116555507,0.009837307805698596,0.0,0.07258064516129033,129,19.45736434108527,9.55739876347278,1,40
2,525,45.76758095238095,13.346974785730804,28.27,78.98,525,12730.827837912319,1905.3241773796476,9183.503428927681,21555.3897659227,525,0.1564801582920809,0.059812731294967836,-0.09239483272406376,0.3665241638495786,525,3.740066181750798,1.9413081746467238,1.0,14.5,525,0.0066520768938370025,0.012612585087616169,0.0,0.0967741935483871,525,17.47047619047619,8.76351653738693,1,42
3,883,2.5708607021517556,4.342578122023858,0.04,41.23,883,18759.518513423714,2965.404631577458,14876.189999999999,28001.625,883,0.14421677346781656,0.07803885320395192,-0.26592562233551537,0.4651012368584905,883,1.886573216534693,1.0746985114646168,1.0,8.0,883,0.01231084113680196,0.05323806725559682,0.0,0.5,883,4.451868629671575,3.61633739633461,1,20
4,1568,12.869272959183673,7.828326502743133,0.22,30.6,1568,13126.594616500171,1657.4097309611668,9018.069158075601,22648.010783608916,1568,0.15980404489250688,0.053947333571176655,-0.041025141984645214,0.4236461079271684,1568,3.7129520292409337,2.144054537610764,1.0,30.0,1568,0.009719621711554749,0.03332622140698034,0.0,0.5,1568,14.48405612244898,5.985496265239875,1,42
