,volume_total,volume_total,volume_total,volume_total,volume_total,preco_liquido_ponderado,preco_liquido_ponderado,preco_liquido_ponderado,preco_liquido_ponderado,preco_liquido_ponderado,margem_pct_ponderada,margem_pct_ponderada,margem_pct_ponderada,margem_pct_ponderada,margem_pct_ponderada,produtos,produtos,produtos,produtos,produtos,recencia_dias,recencia_dias,recencia_dias,recencia_dias,recencia_dias
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
cluster,,,,,,,,,,,,,,,,,,,,,,,,,
0,4656,3.5514798109965633,3.8419232424225314,0.04,20.94,4656,12326.258539029315,1491.4823619664496,8966.1,17312.65,4656,0.16446793427401207,0.06393914179477085,-0.2662426197683716,0.4985465508781974,4656,5.390893470790378,4.439897568107526,1,28,4656,420.5521907216495,393.72950779680616,0,1347
1,265,87.75347169811322,26.25393060081799,54.15,165.13,265,12464.397522698762,1734.2721436115266,9191.317402305312,19506.73546130302,265,0.1506615404415544,0.05744854332663409,-0.114811240949207,0.3250097859380291,265,23.91320754716981,19.049079729380804,1,140,265,110.32830188679246,224.93656039769277,0,1196
2,998,2.8922845691382766,4.309957399969402,0.04,41.23,998,18514.147111931557,3037.4607174888747,13800.537037037036,28817.63333333333,998,0.14262417555781837,0.07599645339013382,-0.26592562233551537,0.4651012368584905,998,5.221442885771543,4.516331794818347,1,30,998,248.89178356713427,349.3426386086811,0,1347
3,1131,27.358213969938106,11.587595885264294,2.54,59.52,1131,13037.131917865636,1753.592853246712,9018.069158075601,22648.010783608916,1131,0.15986392454828371,0.05859224053902188,-0.09239483272406376,0.41996410905900283,1131,17.67816091954023,9.18987758711275,1,71,1131,116.56675508399647,212.2882155679366,0,1227
