cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv
17173460000203,17173460,0002,03
24443608001040,24443608,0010,40
00487626000417,00487626,0004,17
10827182000122,10827182,0001,22
09423108000161,09423108,0001,61
00785370000262,00785370,0002,62
33060278000103,33060278,0001,03
31269012000140,31269012,0001,40
22084765000190,22084765,0001,90
13812133000376,13812133,0003,76
10738611000195,10738611,0001,95
31639701000107,31639701,0001,07
10277146000132,10277146,0001,32
28931335000576,28931335,0005,76
28931335000142,28931335,0001,42
05374444000100,05374444,0001,00
02772188000111,02772188,0001,11
00074569000100,00074569,0001,00
00074569004784,00074569,0047,84
00074569003206,00074569,0032,06
28672087000162,28672087,0001,62
29322070000300,29322070,0003,00
40433401000150,40433401,0001,50
05484996001909,05484996,0019,09
32296378003439,32296378,0034,39
02373517000232,02373517,0002,32
07125452000149,07125452,0001,49
30194450000123,30194450,0001,23
11420971000107,11420971,0001,07
32007908000113,32007908,0001,13
00074569001840,00074569,0018,40
28908804000102,28908804,0001,02
07344272000158,07344272,0001,58
30411573000179,30411573,0001,79
32492373000466,32492373,0004,66
05931640000139,05931640,0001,39
32318949000120,32318949,0001,20
28154862000198,28154862,0001,98
48175659000105,48175659,0001,05
02077546000176,02077546,0001,76
31806649000128,31806649,0001,28
29617631000136,29617631,0001,36
30778013000157,30778013,0001,57
27183425000130,27183425,0001,30
05756643000183,05756643,0001,83
01980404000151,01980404,0001,51
34088111000113,34088111,0001,13
27191022000132,27191022,0001,32
32499238000108,32499238,0001,08
11671820000121,11671820,0001,21
02875301000194,02875301,0001,94
27497684000135,27497684,0001,35
27497684000720,27497684,0007,20
06955557000243,06955557,0002,43
32485369000209,32485369,0002,09
02615012000156,02615012,0001,56
04567650000255,04567650,0002,55
04567650000174,04567650,0001,74
21895424000131,21895424,0001,31
04094624000176,04094624,0001,76
03461082000160,03461082,0001,60
03461082000240,03461082,0002,40
01221695000102,01221695,0001,02
00000147519764,00000147,5197,64
33230341000102,33230341,0001,02
02614827000110,02614827,0001,10
31732886000191,31732886,0001,91
15113424000130,15113424,0001,30
03013179000100,03013179,0001,00
27535996001249,27535996,0012,49
30775399000143,30775399,0001,43
31023302000370,31023302,0003,70
07122025000107,07122025,0001,07
47466994000108,47466994,0001,08
