cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv,identificador_matriz_filial,situacao_cadastral,uf,municipio,cnae_fiscal_principal,cnae_principal_descricao,cnae_fiscal_secundaria
35662605000122,35662605,0001,22,1,02,GO,9227,3313901,"Manutenção e reparação de geradores, transformadores e motores elétricos","2710402,3313999,3321000,4321500,4322303,4329103,4742300,4751201,4752100,4759899,6190699,7739099,9511800"
42354972000124,42354972,0001,24,1,02,MS,9141,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,"0810004,0810009,4683400,4689301,5211799,7112000,7119702"
01937440001457,01937440,0014,57,2,02,SP,7107,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4622200,4623199,4632001,4637102,4637103,4687702,4930201,4930203,4930204,5211799,5212500,5250803,8211300"
35793976000143,35793976,0001,43,1,02,AM,9835,7210000,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,"2229302,3250701,3314702,3314703,3314704,3314710,3314722,3319800,3321000,4612500,4618499,4664800,4732600,4742300,4744001,4744003,4751201,4752100,4757100,4763602,4773300,4774100,6204000,7112000"
43894824000165,43894824,0001,65,1,02,ES,5701,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930201,4930203,5211799,5212500,5250803,5250804,7711000,7719599"
11727497000241,11727497,0002,41,2,02,BA,3117,1066000,Fabricação de alimentos para animais,"0111302,0155501,0155502,1012101,1013901,1013902,4623109,4634602,4639701,5620101"
65107971002124,65107971,0021,24,2,02,MG,4723,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional","4923002,4929901,4929903,4929904,7711000,7719599"
01528374001542,01528374,0015,42,2,02,PE,2457,7112000,Serviços de engenharia,"3311200,3312102,3313901,3313999,3314702,3314703,3314705,3314714,3314799,3319800,3321000,4223500,4321500,4322301,4399101,7120100,8129000,8299701,8299799"
45227673000117,45227673,0001,17,1,02,SP,7107,4665600,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças,"4322302,4614100,4753900"
45598515000173,45598515,0001,73,1,02,PA,0619,4689301,"Comércio atacadista de produtos da extração mineral, exceto combustíveis","0990402,0990403,4930201,4930202"
03852459000705,03852459,0007,05,2,02,RJ,5871,4211101,Construção de rodovias e ferrovias,"4212000,7112000,8211300"
54360623008936,54360623,0089,36,2,02,SP,6219,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana","4929901,4929902"
47367504000108,47367504,0001,08,1,02,RJ,5833,4930203,Transporte rodoviário de produtos perigosos,"4399104,4921301,4921302,4923002,4924800,4929901,4929902,4929903,4929904,4929999,4930201,4930202,7911200"
46874030000128,46874030,0001,28,1,02,RN,1621,5231102,Atividades do Operador Portuário,"5211701,5212500"
47483716000150,47483716,0001,50,1,02,SP,6291,3811400,Coleta de resíduos não-perigosos,
06697576002007,06697576,0020,07,2,02,TO,9559,1932200,"Fabricação de biocombustíveis, exceto álcool","0115600,0163600,1041400,1066000,1069400,1931400,4622200,4623108,4623109,4623199,4632001,4637103,4930202,5211701,5211799,6399200"
47856063000108,47856063,0001,08,1,02,MT,9195,4732600,Comércio varejista de lubrificantes,"4530703,4681805,4930201,4930202"
48025693000101,48025693,0001,01,1,02,RS,8801,6810203,Loteamento de imóveis próprios,"6810201,6822600,4299599"
48132276000150,48132276,0001,50,1,02,RJ,6001,4520001,Serviços de manutenção e reparação mecânica de veículos automotores,"4511102,4520002,4520003,4520004,4520006,4520007,4530703,4530705,4541206,4732600,5223100"
82648742000940,82648742,0009,40,2,02,SC,8199,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","4922101,4924800,4929901,4929902,4929903,4929904,4930202,6463800"
00242184000872,00242184,0008,72,2,02,MS,9051,4662100,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças","3314712,3314717,4530703,4930202,5212500,7719599,7732201,7820500"
49401457000288,49401457,0002,88,2,02,MG,4959,5211799,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis",
49785497000190,49785497,0001,90,1,02,CE,1569,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,
61365557000897,61365557,0008,97,2,02,MG,5293,4637199,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,4637101
04690015001666,04690015,0016,66,2,02,PB,1937,4313400,Obras de terraplenagem,"4212000,4213800,4292802,4299599,7112000"
50272748000111,50272748,0001,11,1,02,BA,3533,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,"0810006,0990403,2330301,2330302,2330303,2330305,2399199,4211101,4213800,4689301,4930201,4930202,7711000,7732201,7740300"
23373000003662,23373000,0036,62,2,02,SP,6291,7711000,Locação de automóveis sem condutor,"3314710,4923002,6463800,7490104,7719599,7731400,7740300"
37978223000219,37978223,0002,19,2,02,MG,5391,3511501,Geração de energia elétrica,"3511502,3513100,3530100"
11169419000945,11169419,0009,45,2,02,MS,9087,4330499,Outras obras de acabamento da construção,
16659619000223,16659619,0002,23,2,02,RJ,2909,3811400,Coleta de resíduos não-perigosos,"3812200,3839499,4687701,4687702,4687703,4744099,4930202,4930203,5211799,7739099"
00001180001106,00001180,0011,06,2,02,RJ,6001,3512300,Transmissão de energia elétrica,"3314799,3511501,7119702,7739099,8599604"
00001180002331,00001180,0023,31,2,02,GO,9263,3512300,Transmissão de energia elétrica,
00001180003818,00001180,0038,18,2,02,MG,4593,3511501,Geração de energia elétrica,3512300
00001180005004,00001180,0050,04,2,02,SP,6841,3511501,Geração de energia elétrica,3512300
77649283002507,77649283,0025,07,2,02,GO,9571,4930203,Transporte rodoviário de produtos perigosos,"4930201,4930202,5250805,5320202,7719599"
52973303000194,52973303,0001,94,1,02,PR,7535,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","4520001,4731800,4921302,4924800,5223100,6463800,6619399,8211300"
53155284000151,53155284,0001,51,1,02,MG,5401,2330305,Preparação de massa de concreto e argamassa para construção,"2330302,7732201,7739099"
53310946000110,53310946,0001,10,1,02,ES,5699,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930201,4930203,5212500"
53311435000113,53311435,0001,13,1,02,AM,0255,4223500,"Construção de redes de transportes por dutos, exceto para água e esgoto",
03367101002560,03367101,0025,60,2,02,SP,6377,2330305,Preparação de massa de concreto e argamassa para construção,"0810006,2330399,4213800,4399199,4511101,4530705,4744006,4744099,4930202,6462000,6810201"
00779059001525,00779059,0015,25,2,02,PR,7569,4212000,Construção de obras de arte especiais,"0161099,4211101,4222701,4299599,4313400,4319300,4399199,7111100,7112000,7820500"
10267561000458,10267561,0004,58,2,02,SP,6471,0810006,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",3839499
54371038000108,54371038,0001,08,1,02,MG,5043,7739001,"Aluguel de máquinas e equipamentos para extração de minérios e petróleo, sem operador","5212500,4930201,4930203"
03096738000869,03096738,0008,69,2,02,MT,9129,4511102,"Comércio a varejo de automóveis, camionetas e utilitários usados","4313400,4930201,4930202,5112901,7711000,7731400,7732201"
17159856007624,17159856,0076,24,2,02,GO,9451,4211101,Construção de rodovias e ferrovias,"3314710,3321000,3600601,3811400,3821100,4110700,4120400,4212000,4213800,4221901,4221902,4222701,4222702,4291000,4292802,4299501,4299599,4311802,4312600,4313400,4319300,4321500,4322301,4322302,4322303,4329104,4391600,4399101,5221400,6463800,6821802,6822600,7020400,7112000,7120100,7732201,8111700,9311500"
53769781000220,53769781,0002,20,2,02,PA,0415,8129000,Atividades de limpeza não especificadas anteriormente,"3811400,3812200,3821100,3822000"
54324211000109,54324211,0001,09,1,02,CE,1389,4687703,Comércio atacadista de resíduos e sucatas metálicos,"3313901,3600602,3701100,3811400,3839499,4321500,4322301,4322302,4322303,4330402,4330404,4330499,4399103,4399199,4741500,4742300,4744001,4744002,4744003,4744005,4744099,4751201,4752100,4753900,4755502,4755503,4761001,4763601,4763602,4789007,7739003,7739099,8129000,8299799,9511800"
22257109001113,22257109,0011,13,2,02,AP,0605,7711000,Locação de automóveis sem condutor,"3600602,4399104,4923002,4924800,4929902,4930201,5229002"
