cnpj_basico,cnae_mais_frequente,cnae_descricao,n_estabelecimentos_encontrados,n_cnaes_distintos
05574041,4634603,Comércio atacadista de pescados e frutos do mar,5,3
33479213,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",3,1
36936697,4211101,Construção de rodovias e ferrovias,2,2
44221086,1733800,Fabricação de chapas e de embalagens de papelão ondulado,1,1
30653472,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
08843214,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",4,1
00002405,0322101,Criação de peixes em água doce,1,1
04160537,4929901,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",2,1
07378783,2342701,Fabricação de azulejos e pisos,1,1
27249457,4399104,Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras,1,1
55767909,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
09502691,8219999,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,1,1
08269988,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",2,1
12441452,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",1,1
14930847,2330399,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",1,1
13432399,7711000,Locação de automóveis sem condutor,1,1
11513763,0810009,Extração de basalto e beneficiamento associado,1,1
11201805,2099199,Fabricação de outros produtos químicos não especificados anteriormente,2,2
10637095,0810004,Extração de calcário e dolomita e beneficiamento associado,2,2
26240335,7112000,Serviços de engenharia,1,1
33504871,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores,1,1
34925254,2330305,Preparação de massa de concreto e argamassa para construção,1,1
28743765,4930203,Transporte rodoviário de produtos perigosos,1,1
46093371,4930203,Transporte rodoviário de produtos perigosos,1,1
36195336,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
48057300,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores,1,1
47721657,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1,1
24153141,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
13524220,2222600,Fabricação de embalagens de material plástico,2,1
00000084,8299799,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,1,1
00000089,7311400,Agências de publicidade,1,1
00086746,4781400,Comércio varejista de artigos do vestuário e acessórios,1,1
04154972,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",1,1
24441206,2790299,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,2,2
45365541,2422901,"Produção de laminados planos de aço ao carbono, revestidos ou não",2,2
05683638,0810004,Extração de calcário e dolomita e beneficiamento associado,1,1
06098906,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",1,1
08396938,1063500,Fabricação de farinha de mandioca e derivados,1,1
15731984,5231103,Gestão de terminais aquaviários,1,1
19201121,4663000,Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças,1,1
20662766,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",2,1
17051740,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
08093667,4744001,Comércio varejista de ferragens e ferramentas,2,2
26020106,4299599,Outras obras de engenharia civil não especificadas anteriormente,2,2
36601404,2013401,Fabricação de adubos e fertilizantes organo-minerais,1,1
42220660,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
44406870,6810203,Loteamento de imóveis próprios,1,1
35652700,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",3,2
66968549,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
00087791,8888888,Atividade Econônica não informada,1,1
00000070,9313100,Atividades de condicionamento físico,1,1
02999886,4634601,Comércio atacadista de carnes bovinas e suínas e derivados,2,2
10471171,0810005,Extração de gesso e caulim,1,1
21510745,4541204,Comércio a varejo de motocicletas e motonetas usadas,1,1
08778880,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
33572312,8129000,Atividades de limpeza não especificadas anteriormente,1,1
41796234,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
27203655,3313901,"Manutenção e reparação de geradores, transformadores e motores elétricos",1,1
00000099,9312300,"Clubes sociais, esportivos e similares",1,1
00004972,5611203,"Lanchonetes, casas de chá, de sucos e similares",1,1
04190998,3812200,Coleta de resíduos perigosos,1,1
04700295,2790299,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,1,1
20333363,4679699,Comércio atacadista de materiais de construção em geral,1,1
17305349,1099604,Fabricação de gelo comum,1,1
21753749,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",1,1
28442493,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",1,1
34024324,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",1,1
05810283,4744004,"Comércio varejista de cal, areia, pedra britada, tijolos e telhas",1,1
20962342,4321500,Instalação e manutenção elétrica,1,1
22581442,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
21478597,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
26822600,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
36669126,0112101,Cultivo de algodão herbáceo,1,1
39155675,4930203,Transporte rodoviário de produtos perigosos,1,1
41265121,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
17806779,0729401,Extração de minérios de nióbio e titânio,1,1
26469494,4930203,Transporte rodoviário de produtos perigosos,3,1
69625283,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
03848414,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
00000057,8112500,Condomínios prediais,1,1
00001690,5611201,Restaurantes e similares,1,1
02158076,4313400,Obras de terraplenagem,1,1
02805610,5231102,Atividades do Operador Portuário,4,1
76031186,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",1,1
02679180,1610203,Serrarias com desdobramento de madeira em bruto,1,1
20372140,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1,1
60447133,2099199,Fabricação de outros produtos químicos não especificados anteriormente,1,1
31134760,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
13463104,4789099,Comércio varejista de outros produtos não especificados anteriormente,1,1
69197580,0899199,Extração de outros minerais não-metálicos não especificados anteriormente,1,1
07874948,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
91359711,0210107,Extração de madeira em florestas plantadas,79,11
00074569,4635402,"Comércio atacadista de cerveja, chope e refrigerante",70,8
78586674,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",175,9
78958717,2731700,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,45,13
87440434,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",6,2
08369748,4632001,Comércio atacadista de cereais e leguminosas beneficiados,9,3
06984234,4687703,Comércio atacadista de resíduos e sucatas metálicos,4,1
01868396,4299599,Outras obras de engenharia civil não especificadas anteriormente,6,3
47973689,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
00000008,9521500,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico,1,1
00000094,8121400,Limpeza em prédios e em domicílios,1,1
00003395,4679699,Comércio atacadista de materiais de construção em geral,2,2
04945406,4789099,Comércio varejista de outros produtos não especificados anteriormente,1,1
00090077,2950600,Recondicionamento e recuperação de motores para veículos automotores,1,1
00080671,5211701,Armazéns gerais - emissão de warrant,77,22
00733658,1531901,Fabricação de calçados de couro,25,3
01224164,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",3,1
01571702,4644301,Comércio atacadista de medicamentos e drogas de uso humano,9,5
02229411,4299599,Outras obras de engenharia civil não especificadas anteriormente,37,5
05621860,0810002,Extração de granito e beneficiamento associado,9,1
19712504,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",6,2
20468310,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",120,3
20698684,4930203,Transporte rodoviário de produtos perigosos,5,2
25388869,4211101,Construção de rodovias e ferrovias,6,2
30683536,5211701,Armazéns gerais - emissão de warrant,10,2
32403537,8888888,Atividade Econônica não informada,20,2
02677998,1066000,Fabricação de alimentos para animais,1,1
33337007,4922102,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",111,8
04444217,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4,1
41716499,4299599,Outras obras de engenharia civil não especificadas anteriormente,12,7
43171438,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",22,2
45985371,2099199,Fabricação de outros produtos químicos não especificados anteriormente,109,9
46374203,4744001,Comércio varejista de ferragens e ferramentas,10,6
46486650,4211101,Construção de rodovias e ferrovias,6,1
50564053,4649408,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",34,8
50949528,2229301,Fabricação de artefatos de material plástico para uso pessoal e doméstico,20,4
52105491,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",7,2
54834007,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",12,2
57582793,4669999,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,15,5
60395589,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",42,2
61243119,2865800,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios",12,3
61352050,2531401,Produção de forjados de aço,19,4
73410326,4635402,"Comércio atacadista de cerveja, chope e refrigerante",212,12
75190983,0210107,Extração de madeira em florestas plantadas,22,8
83665141,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,5,2
83892117,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",10,2
01585358,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,9,5
63469811,3821100,Tratamento e disposição de resíduos não-perigosos,2,1
64571292,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",2,2
13032743,4634601,Comércio atacadista de carnes bovinas e suínas e derivados,4,3
68260371,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",10,2
33087859,4922102,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",15,3
61059978,4299599,Outras obras de engenharia civil não especificadas anteriormente,20,4
05476815,4693100,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",11,5
41548652,4211101,Construção de rodovias e ferrovias,3,1
06286309,0133402,Cultivo de banana,24,6
00061411,4761001,Comércio varejista de livros,1,1
02717529,2061400,Fabricação de sabões e detergentes sintéticos,2,2
04102265,1041400,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",7,2
56764822,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",27,2
72908817,2829199,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",17,6
03461082,8211300,Serviços combinados de escritório e apoio administrativo,12,2
59599555,2071100,"Fabricação de tintas, vernizes, esmaltes e lacas",4,2
07063976,3511501,Geração de energia elétrica,2,1
09340994,2342702,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",1,1
57593253,2610800,Fabricação de componentes eletrônicos,6,5
19498344,0155501,Criação de frangos para corte,31,5
08047481,0113000,Cultivo de cana-de-açúcar,29,2
09515262,0210101,Cultivo de eucalipto,8,2
05830982,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",19,1
14807945,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,17,7
12766401,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
44384832,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",17,7
10280806,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",50,4
10376555,0210101,Cultivo de eucalipto,53,14
03428529,2342701,Fabricação de azulejos e pisos,4,2
18485037,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",58,6
46515946,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",6,1
95818399,4211101,Construção de rodovias e ferrovias,8,3
21399444,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
11069370,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
21983240,3512300,Transmissão de energia elétrica,2,2
06695952,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",8,3
16703851,0151201,Criação de bovinos para corte,2,1
17619009,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",37,5
17079975,0810004,Extração de calcário e dolomita e beneficiamento associado,1,1
00766315,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",11,1
12302292,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",9,2
85155372,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",8,1
33962810,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",1,1
08419352,4399199,Serviços especializados para construção não especificados anteriormente,30,1
04218950,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",5,1
03014011,4211101,Construção de rodovias e ferrovias,6,2
15120702,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,6,4
43363210,4679699,Comércio atacadista de materiais de construção em geral,2,2
22673347,0155505,Produção de ovos,11,7
34730618,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
08992198,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",13,1
03222465,0810009,Extração de basalto e beneficiamento associado,9,5
31808056,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
17191172,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",15,2
42799486,0724301,Extração de minério de metais preciosos,4,3
55363379,4221902,Construção de estações e redes de distribuição de energia elétrica,7,1
03419290,5250805,Operador de transporte multimodal - OTM,6,2
40805770,4689399,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,2,2
17163084,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4,1
30581433,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",16,2
41842055,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
00002651,4744001,Comércio varejista de ferragens e ferramentas,1,1
00609820,3811400,Coleta de resíduos não-perigosos,11,1
00644907,3511501,Geração de energia elétrica,6,3
01047131,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,2
07815657,1052000,Fabricação de laticínios,3,2
07957111,8012900,Atividades de transporte de valores,8,1
14755524,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",5,3
15104599,0899103,Extração de amianto,8,3
22432769,4930203,Transporte rodoviário de produtos perigosos,12,2
27169879,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,5,4
39115514,4911600,Transporte ferroviário de carga,7,1
42950501,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",6,2
60291275,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",9,4
89816128,2869100,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios",6,2
24934739,4399104,Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras,1,1
07366198,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",2,2
00063456,4781400,Comércio varejista de artigos do vestuário e acessórios,1,1
77161461,4110700,Incorporação de empreendimentos imobiliários,4,3
13406285,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",10,2
56883820,2342701,Fabricação de azulejos e pisos,5,4
08110004,0810008,Extração de saibro e beneficiamento associado,1,1
06297912,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",5,1
33072687,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",4,1
08673030,0810004,Extração de calcário e dolomita e beneficiamento associado,4,3
12181979,0161003,"Serviço de preparação de terreno, cultivo e colheita",1,1
13553578,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
17332957,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
09133731,0119907,Cultivo de melão,2,1
73992034,4679604,Comércio atacadista especializado de materiais de construção não especificados anteriormente,3,2
20842277,1922599,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",1,1
20445120,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
79053559,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",5,2
40217620,4211101,Construção de rodovias e ferrovias,3,1
88313457,4930203,Transporte rodoviário de produtos perigosos,9,3
07361576,4211101,Construção de rodovias e ferrovias,2,1
46096410,6810201,Compra e venda de imóveis próprios,1,1
08100152,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4,1
45293275,4663000,Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças,3,1
34632840,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",3,2
26614327,4120400,Construção de edifícios,5,2
41024043,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",2,2
00000055,7490101,"Serviços de tradução, interpretação e similares",1,1
00000098,4520001,Serviços de manutenção e reparação mecânica de veículos automotores,1,1
34486076,5021102,"Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia",5,4
00003635,6209100,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",2,1
01005875,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,2,2
06718969,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
37457942,2710402,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",6,3
08614679,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
16127441,1012101,Abate de aves,2,2
00000091,4789099,Comércio varejista de outros produtos não especificados anteriormente,1,1
07110546,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,2
80326143,3900500,Descontaminação e outros serviços de gestão de resíduos,1,1
08086122,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores,5,1
09454009,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
08581205,0139305,Cultivo de dendê,9,2
11782436,2342702,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",1,1
78106754,4211101,Construção de rodovias e ferrovias,3,2
15090690,5221400,"Concessionárias de rodovias, pontes, túneis e serviços relacionados",3,1
34589564,4929901,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",2,1
19119357,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",1,1
24618789,4520001,Serviços de manutenção e reparação mecânica de veículos automotores,1,1
01170800,4681802,Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.),5,1
33443860,0600001,Extração de petróleo e gás natural,4,2
27958067,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",1,1
30647870,4637104,"Comércio atacadista de pães, bolos, biscoitos e similares",5,3
48132276,4520001,Serviços de manutenção e reparação mecânica de veículos automotores,1,1
06948119,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4,1
37978223,3511501,Geração de energia elétrica,2,1
22950726,4744099,Comércio varejista de materiais de construção em geral,3,2
56008934,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
16733677,4723700,Comércio varejista de bebidas,2,2
07877700,4930203,Transporte rodoviário de produtos perigosos,4,1
07687696,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",4,1
00076105,8130300,Atividades paisagísticas,1,1
02894373,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",2,1
02490073,2330305,Preparação de massa de concreto e argamassa para construção,1,1
04669925,4929901,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",2,2
46020863,2822402,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",1,1
86377025,2829199,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",1,1
30661276,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
04194483,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
00074918,3312103,Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,1,1
21000344,1340501,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",7,6
37065430,4313400,Obras de terraplenagem,1,1
14746937,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1,1
10687226,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",3,2
40884405,7711000,Locação de automóveis sem condutor,8,2
10962228,3314712,Manutenção e reparação de tratores agrícolas,1,1
11427268,4313400,Obras de terraplenagem,1,1
07392106,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",8,2
04266704,4679601,"Comércio atacadista de tintas, vernizes e similares",3,1
11744740,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
14907194,5231102,Atividades do Operador Portuário,2,1
17480550,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
06979521,2229302,Fabricação de artefatos de material plástico para usos industriais,5,2
66994450,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",4,3
20556396,4313400,Obras de terraplenagem,2,1
21872101,0311602,Pesca de crustáceos e moluscos em água salgada,12,4
11031202,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",5,1
00240698,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",8,1
18073887,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4,1
06967872,3530100,"Produção e distribuição de vapor, água quente e ar condicionado",5,4
34636649,6810203,Loteamento de imóveis próprios,1,1
52889209,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
56309119,3811400,Coleta de resíduos não-perigosos,1,1
15527124,0134200,Cultivo de café,4,1
60821465,4211101,Construção de rodovias e ferrovias,1,1
07713983,4120400,Construção de edifícios,3,2
00000056,6209100,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",1,1
05386318,3811400,Coleta de resíduos não-perigosos,3,2
02149861,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",3,2
05797054,0899199,Extração de outros minerais não-metálicos não especificados anteriormente,1,1
22437735,4744099,Comércio varejista de materiais de construção em geral,2,1
28775179,4520001,Serviços de manutenção e reparação mecânica de veículos automotores,2,2
07154484,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",2,2
97324545,7711000,Locação de automóveis sem condutor,1,1
07161354,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
70206339,4623109,Comércio atacadista de alimentos para animais,1,1
54691100,4313400,Obras de terraplenagem,1,1
00122241,2930101,"Fabricação de cabines, carrocerias e reboques para caminhões",1,1
28039121,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
08927050,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
08691136,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",7,1
14563317,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",5,1
21823063,0990402,Atividades de apoio à extração de minerais metálicos não-ferrosos,3,2
23031289,5021102,"Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia",4,1
32432542,4313400,Obras de terraplenagem,1,1
33673701,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
00894402,4120400,Construção de edifícios,4,2
03454838,4691500,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",4,3
17155276,2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle",8,5
00625283,0810006,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",2,1
00853416,4679699,Comércio atacadista de materiais de construção em geral,1,1
02771116,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
53389953,0810006,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",1,1
00194214,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",6,1
00000040,4520001,Serviços de manutenção e reparação mecânica de veículos automotores,1,1
05777322,3839499,Recuperação de materiais não especificados anteriormente,2,2
21551726,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",1,1
20301933,4681802,Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.),2,1
02130278,2829199,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",3,2
10403741,4520001,Serviços de manutenção e reparação mecânica de veículos automotores,1,1
10728404,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
13566860,4744099,Comércio varejista de materiais de construção em geral,2,1
11447344,0161003,"Serviço de preparação de terreno, cultivo e colheita",1,1
17994551,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores,1,1
21642529,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
