cnpj_basico,cnae_mais_frequente,cnae_descricao,n_estabelecimentos_encontrados,n_cnaes_distintos
57012098,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",21,3
09580824,8422100,Defesa,2,1
13471578,4930203,Transporte rodoviário de produtos perigosos,14,2
11161185,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
09182142,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4,4
79458584,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",23,1
00873894,7711000,Locação de automóveis sem condutor,38,3
06314327,4693100,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",16,5
10339976,4744005,Comércio varejista de materiais de construção não especificados anteriormente,2,2
09524656,4634601,Comércio atacadista de carnes bovinas e suínas e derivados,5,2
62546387,4639701,Comércio atacadista de produtos alimentícios em geral,18,5
24443608,4679604,Comércio atacadista especializado de materiais de construção não especificados anteriormente,11,8
14233397,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",8,1
03801924,0151201,Criação de bovinos para corte,29,3
72073117,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",4,2
19694110,3511501,Geração de energia elétrica,2,1
20554417,0155501,Criação de frangos para corte,1,1
15809486,1066000,Fabricação de alimentos para animais,13,11
02391271,1066000,Fabricação de alimentos para animais,13,7
98593668,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",5,2
23636967,6810201,Compra e venda de imóveis próprios,1,1
20980329,4213800,"Obras de urbanização - ruas, praças e calçadas",1,1
23514829,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",8,1
68534270,2513600,Fabricação de obras de caldeiraria pesada,6,2
02200917,4211101,Construção de rodovias e ferrovias,2,2
34660849,4632001,Comércio atacadista de cereais e leguminosas beneficiados,3,1
08925365,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",16,1
17273767,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",5,1
39858391,3811400,Coleta de resíduos não-perigosos,3,2
04382714,2330305,Preparação de massa de concreto e argamassa para construção,4,1
01528374,7112000,Serviços de engenharia,22,3
33764510,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores,1,1
19942283,4211101,Construção de rodovias e ferrovias,12,3
40731699,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
00068691,2869100,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios",3,2
46569957,3511501,Geração de energia elétrica,1,1
14160269,5021102,"Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia",4,1
47934761,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",1,1
13080626,2330305,Preparação de massa de concreto e argamassa para construção,15,2
01197205,4222701,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",2,1
03611978,4120400,Construção de edifícios,2,1
33588168,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",5,1
56937989,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
09619469,0151201,Criação de bovinos para corte,17,4
54305037,8211300,Serviços combinados de escritório e apoio administrativo,4,2
13196196,2320600,Fabricação de cimento,4,3
33309404,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",9,2
37831567,3811400,Coleta de resíduos não-perigosos,10,3
35294771,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",4,1
07258209,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",6,1
12288046,4646002,Comércio atacadista de produtos de higiene pessoal,7,2
00074905,6462000,Holdings de instituições não-financeiras,1,1
03585982,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",2,2
00367104,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,1,1
10319846,2320600,Fabricação de cimento,16,6
15120066,1721400,Fabricação de papel,6,2
27583202,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",2,1
33103862,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",4,1
02782342,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
53886768,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",5,2
80247943,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",8,1
87439626,2219600,Fabricação de artefatos de borracha não especificados anteriormente,4,2
88961974,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",15,2
80418205,0500301,Extração de carvão mineral,2,2
45750411,1531901,Fabricação de calçados de couro,4,3
30777114,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",4,3
89456008,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
33273079,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",4,1
06044367,0810009,Extração de basalto e beneficiamento associado,3,2
54579107,4930203,Transporte rodoviário de produtos perigosos,3,1
01594992,2941700,Fabricação de peças e acessórios para o sistema motor de veículos automotores,2,2
00083266,4781400,Comércio varejista de artigos do vestuário e acessórios,2,1
01796430,4930203,Transporte rodoviário de produtos perigosos,2,1
08777540,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
09074183,5221400,"Concessionárias de rodovias, pontes, túneis e serviços relacionados",4,1
10661303,4940000,Transporte dutoviário,1,1
10672263,4120400,Construção de edifícios,1,1
03647936,4213800,"Obras de urbanização - ruas, praças e calçadas",2,1
13434315,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",6,2
18572206,0151201,Criação de bovinos para corte,8,6
21103907,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
23778652,0134200,Cultivo de café,2,1
08645856,4930203,Transporte rodoviário de produtos perigosos,5,1
11252153,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",10,1
24994943,4691500,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",1,1
05338882,1733800,Fabricação de chapas e de embalagens de papelão ondulado,3,1
05730396,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",9,1
13491552,0210101,Cultivo de eucalipto,3,1
18500734,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4,1
28365123,3314707,Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,1,1
07570829,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",5,1
33811801,3313999,"Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente",1,1
39830947,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",8,3
33666065,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",3,1
16668247,1621800,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",4,2
26429471,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",7,1
06096335,4687701,Comércio atacadista de resíduos de papel e papelão,2,1
22849328,4930203,Transporte rodoviário de produtos perigosos,7,1
51197647,4211101,Construção de rodovias e ferrovias,1,1
36443753,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores,2,2
52606798,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
13311034,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",3,1
04637026,4930203,Transporte rodoviário de produtos perigosos,3,1
08672803,1323500,Tecelagem de fios de fibras artificiais e sintéticas,3,2
06069123,4312600,Perfurações e sondagens,4,1
79469714,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
09054601,4399104,Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras,4,2
20480467,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
00063684,7490101,"Serviços de tradução, interpretação e similares",1,1
03838222,3701100,Gestão de redes de esgoto,2,1
03935768,4930203,Transporte rodoviário de produtos perigosos,2,2
04172876,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",1,1
12066346,4120400,Construção de edifícios,7,2
44230779,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,4,2
49383250,2121101,Fabricação de medicamentos alopáticos para uso humano,4,1
75524413,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",3,1
77895928,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",3,3
01495691,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",1,1
80273881,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",8,1
44632347,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,4,4
29667227,2033900,Fabricação de elastômeros,12,4
31479108,0311604,Atividades de apoio à pesca em água salgada,1,1
06849988,2342702,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",3,1
07287580,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",6,2
36355030,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",2,1
08269898,0134200,Cultivo de café,3,1
64502289,4321500,Instalação e manutenção elétrica,2,2
09557587,8422100,Defesa,2,1
10760580,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
68405778,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
16726303,1610205,Serviço de tratamento de madeira realizado sob contrato,1,1
09582350,8422100,Defesa,2,1
23186195,3103900,"Fabricação de móveis de outros materiais, exceto madeira e metal",1,1
07004424,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",5,1
59598029,4211101,Construção de rodovias e ferrovias,8,4
35218174,4299599,Outras obras de engenharia civil não especificadas anteriormente,1,1
41420939,2399199,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente,1,1
11727497,1066000,Fabricação de alimentos para animais,2,2
47483716,3811400,Coleta de resíduos não-perigosos,1,1
16659619,3811400,Coleta de resíduos não-perigosos,2,1
62016034,4211101,Construção de rodovias e ferrovias,1,1
00099930,4755501,Comércio varejista de tecidos,1,1
01527825,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
00986410,2071100,"Fabricação de tintas, vernizes, esmaltes e lacas",1,1
00987763,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",1,1
07095509,4299599,Outras obras de engenharia civil não especificadas anteriormente,2,2
26389015,3313901,"Manutenção e reparação de geradores, transformadores e motores elétricos",2,1
34963066,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
17397670,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",3,1
06108102,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
00007251,4520005,"Serviços de lavagem, lubrificação e polimento de veículos automotores",1,1
34122432,1012101,Abate de aves,4,4
04497756,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores,9,4
09339286,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
02968391,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
14767118,0133499,Cultivo de frutas de lavoura permanente não especificadas anteriormente,1,1
72812852,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4,2
04535651,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",2,1
09600534,0990403,Atividades de apoio à extração de minerais não-metálicos,3,2
26469628,3511501,Geração de energia elétrica,1,1
26574250,5211702,Guarda-móveis,3,2
30272428,4213800,"Obras de urbanização - ruas, praças e calçadas",1,1
34314216,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",3,1
51284743,4687702,"Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão",4,3
49162760,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",1,1
53461262,1061901,Beneficiamento de arroz,1,1
03785719,4211101,Construção de rodovias e ferrovias,2,1
00017688,4744001,Comércio varejista de ferragens e ferramentas,1,1
00000020,9511800,Reparação e manutenção de computadores e de equipamentos periféricos,1,1
01857439,4784900,Comércio varejista de gás liqüefeito de petróleo (GLP),7,1
03270896,4773300,Comércio varejista de artigos médicos e ortopédicos,2,2
20127759,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
77058006,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",2,2
04879275,4211101,Construção de rodovias e ferrovias,1,1
