Código Cliente,nome_cliente,cnae_descricao,estado_cliente,cluster,familia_principal,frequencia_mensal,nivel_frequencia,margem_pct_ponderada,nivel_margem,frete_por_m3,receita_liquida_total
19327,ARAUCARIA TRANSPORTE COLETIVO LTDA,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",Paraná,2,ATF HD,1.0,Ocasionais,0.0806097060173442,Baixa,500.79999999999995,4967.64
18943,ITAIQUARA ALIMENTOS S.A. EM RECUPER,Fabricação de fermentos e leveduras,São Paulo,2,TURBINA X,1.5,Ocasionais,0.1357152176196251,Média,619.6574585635359,27516.59
18940,MULTILIT FIBROCIMENTO LTDA,Fabricação de artefatos de fibrocimento para uso na construção,Paraná,2,UNITRACTOR,1.625,Regulares,0.2240035180278531,Alta,434.79225352112684,137281.46
18399,TWM TRANSPORTES ESPECIAIS LTDA,Transporte rodoviário de produtos perigosos,Minas Gerais,2,TOP TURBO,1.0909090909090908,Ocasionais,0.2030147778747699,Alta,594.8392070484582,81381.12
1848042,CASA LIMPA TRANSPORTES LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Santa Catarina,2,GL 5,1.0,Ocasionais,0.0902039134869279,Baixa,586.625,9539.83
1847758,"FM TRANSPORTES, LOCACAO E LOGISTICA","Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",Minas Gerais,2,LITHPLUS,1.2,Ocasionais,0.122232821334341,Baixa,0.0,72186.34
1847715,PRIMOTECH LOGISTICA E SERVICOS LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Rio de Janeiro,2,LITH EP,1.0,Ocasionais,0.1242409692998559,Baixa,284.5,708.14
21812,YARA BRASIL FERTILIZANTES S/A,"Fabricação de adubos e fertilizantes, exceto organo-minerais",Rio Grande do Sul,2,GEAR,1.7647058823529411,Regulares,0.3443610209567177,Alta,1017.3153284671533,129724.99
1846469,CLARA TRANSPORTES E OPERACOES LOGIS,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Minas Gerais,2,TOP TURBO,1.0,Ocasionais,0.1599414306524225,Média,591.5906040268457,26532.65
1846468,ESX TRANSPORTE E TURISMO LTDA,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",Rio de Janeiro,2,TOP TURBO,1.0,Ocasionais,0.1114905533661948,Baixa,374.1153846153846,15783.4
31995,BRASICAL INDUSTRIA E TRANSPORTES LT,Fabricação de cal e gesso,Minas Gerais,2,AUTOLITH,1.25,Ocasionais,0.1377687337410187,Média,695.7142857142858,48311.76
1176301,INCOPISOS INDUSTRIA E COMERCIO DE P,Fabricação de azulejos e pisos,São Paulo,2,GL 5 LS,1.3333333333333333,Ocasionais,0.1572439422188151,Média,582.48,15849.45
1051233,CIBRAFERTIL COMPANHIA BRASILEIRA DE,"Fabricação de adubos e fertilizantes, exceto organo-minerais",Bahia,2,GEAR,1.3,Ocasionais,0.2212924555264601,Alta,553.3478260869565,12945.9
1051165,GW CONSTRUCOES E INCORPORACOES LTDA,Obras de terraplenagem,Brasília,2,AUTOLITH,1.0,Ocasionais,0.1073569446625831,Baixa,251.8421052631579,3056.16
1050451,EMPRESA SANTA MARIA LTDA,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",Minas Gerais,2,TRM 4,1.0,Ocasionais,0.2598193545910042,Alta,654.6999999999999,2083.64
1044905,USICAL INDUSTRIA E COMERCIO DE CAL,Fabricação de cal e gesso,Mato Grosso,2,HYDRA XP,2.0,Regulares,0.0944716687696235,Baixa,915.3499999999999,3407.9
20843,ELIANE REVESTIMENTOS CERAMICOS LTDA,Fabricação de azulejos e pisos,Santa Catarina,2,GEAR,1.0,Ocasionais,0.1187974772181791,Baixa,638.3333333333333,8282.92
